number,H,w
100,1.0012048192771084,628.3185307179587
200,0.9927710843373494,1256.6370614359173
500,0.9853658536585367,3141.592653589793
1000,0.9753086419753086,6283.185307179586
1200,0.975,7539.822368615503
1500,0.9873417721518988,9424.77796076938
1700,0.9655172413793105,10681.415022205296
2000,0.9746835443037974,12566.370614359172
2200,0.9871794871794871,13823.00767579509
2500,0.9871794871794871,15707.963267948966
3000,0.9846153846153846,18849.55592153876
4000,1.0025974025974027,25132.741228718343
5000,0.9922077922077922,31415.926535897932
